Team,Date,Time,Hours
インドネシア学友会,2026-02-01,11:00–12:30,1.5
中国留学生学友会,2026-02-01,12:30–14:00,1.5
ULISバドミントン部,2026-02-01,14:00–15:30,1.5
KickChat T-ACT,2026-02-01,15:30–17:00,1.5
ULISバレーボール部,2026-02-01,17:00–19:00,2.0
SPIKERS'inc,2026-02-01,19:00–21:00,2.0
ULISバレーボール部,2026-02-02,16:30–18:00,1.5
ULISバレーボール部,2026-02-04,13:30–15:00,1.5
SPIKERS'inc,2026-02-04,15:00–16:30,1.5
医学フットサル同好会,2026-02-04,16:30–18:00,1.5
中国留学生学友会,2026-02-06,16:30–19:00,2.5
ULISバレーボール部,2026-02-07,17:00–19:00,2.0
医学フットサル同好会,2026-02-07,19:00–21:00,2.0
医学フットサル同好会,2026-02-08,11:00–12:30,1.5
KickChat T-ACT,2026-02-08,12:30–14:00,1.5
ULISバレーボール部,2026-02-08,14:00–15:30,1.5
ULISバドミントン部,2026-02-08,15:30–17:00,1.5
SPIKERS'inc,2026-02-08,17:00–19:00,2.0
中国留学生学友会,2026-02-08,19:00–21:00,2.0
ULISバドミントン部,2026-02-09,16:30–18:00,1.5
中国留学生学友会,2026-02-11,08:30–10:00,1.5
SPIKERS'inc,2026-02-11,10:00–11:30,1.5
医学フットサル同好会,2026-02-11,11:30–13:00,1.5
ULISバドミントン部,2026-02-11,13:00–14:30,1.5
KickChat T-ACT,2026-02-11,14:30–16:00,1.5
ULISバレーボール部,2026-02-11,16:00–18:00,2.0
医学フットサル同好会,2026-02-14,17:00–21:00,4.0
中国留学生学友会,2026-02-15,11:00–13:00,2.0
SPIKERS'inc,2026-02-15,13:00–17:00,4.0
ULISバドミントン部,2026-02-15,17:00–19:00,2.0
ULISバレーボール部,2026-02-15,19:00–21:00,2.0
医学フットサル同好会,2026-02-16,16:30–18:00,1.5
中国留学生学友会,2026-02-20,16:30–18:00,1.5
ULISバドミントン部,2026-02-20,18:00–19:30,1.5
SPIKERS'inc,2026-02-20,19:30–21:00,1.5
中国留学生学友会,2026-02-21,17:00–19:00,2.0
ULISバドミントン部,2026-02-21,19:00–21:00,2.0
中国留学生学友会,2026-02-22,11:00–12:30,1.5
ULISバレーボール部,2026-02-22,12:30–14:00,1.5
SPIKERS'inc,2026-02-22,14:00–15:30,1.5
ULISバドミントン部,2026-02-22,15:30–17:00,1.5
インドネシア学友会,2026-02-22,17:00–19:00,2.0
KickChat T-ACT,2026-02-22,19:00–21:00,2.0
KickChat T-ACT,2026-02-23,08:30–10:00,1.5
ULISバレーボール部,2026-02-23,10:00–12:00,2.0
ULISバドミントン部,2026-02-23,12:00–14:00,2.0
SPIKERS'inc,2026-02-23,14:00–16:00,2.0
中国留学生学友会,2026-02-23,16:00–18:00,2.0
医学フットサル同好会,2026-02-27,16:30–18:00,1.5
